seller_code,shop_name,seller_region
SEL1000,Bengal Bazaar,Mymensingh
SEL1001,Bengal Emporium,Rangpur
SEL1002,Bengal Hub,Barisal
SEL1003,Classic Fashion House,Sylhet
SEL1004,Classic Mart,Rajshahi
SEL1005,Delta Corner,Khulna
SEL1006,Delta Store,Rajshahi
SEL1007,Delta Trading,Dhaka
SEL1008,Elite Depot,Chattogram
SEL1009,Elite Emporium,Dhaka
SEL1010,Elite Gallery,Sylhet
SEL1011,Elite Outlet,Chattogram
SEL1012,Elite Traders,Dhaka
SEL1013,Elite Trading,Dhaka
SEL1014,Fresh Hub,Khulna
SEL1015,Fresh Trading,Dhaka
SEL1016,Golden Hub,Comilla
SEL1017,Golden Outlet,Khulna
SEL1018,Golden Store,Chattogram
SEL1019,Green Fashion House,Rajshahi
SEL1020,Horizon Bazaar,Dhaka
SEL1021,Horizon Collection,Narayanganj
SEL1022,Horizon Depot,Sylhet
SEL1023,Horizon Shop,Rangpur
SEL1024,Metro Bazaar,Dhaka
SEL1025,Metro Hub,Sylhet
SEL1026,Metro Outlet,Sylhet
SEL1027,Modern Corner,Comilla
SEL1028,Modern Depot,Khulna
SEL1029,Modern Emporium,Sylhet
SEL1030,Nova Retail,Dhaka
SEL1031,Prime Bazaar,Chattogram
SEL1032,Prime Trading,Khulna
SEL1033,Riverside Collection,Sylhet
SEL1034,Riverside Emporium,Dhaka
SEL1035,Riverside Gallery,Mymensingh
SEL1036,Royal Emporium,Comilla
SEL1037,Royal Gallery,Dhaka
SEL1038,Royal Outlet,Khulna
SEL1039,Silver Depot,Dhaka
SEL1040,Silver Emporium,Barisal
SEL1041,Silver Hub,Chattogram
SEL1042,Smart Bazaar,Rajshahi
SEL1043,Smart Emporium,Barisal
SEL1044,Smart Mart,Rangpur
SEL1045,Smart Store,Dhaka
SEL1046,Smart Traders,Comilla
SEL1047,Suncity Depot,Dhaka
SEL1048,Suncity Emporium,Dhaka
SEL1049,Suncity Gallery,Khulna
SEL1050,Suncity Retail,Chattogram
SEL1051,Suncity Shop,Mymensingh
SEL1052,Trendy Collection,Rangpur
SEL1053,Trendy Store,Chattogram
SEL1054,Trendy Trading,Narayanganj
SEL1055,Urban Collection,Chattogram
SEL1056,Urban Store,Khulna
SEL1057,Value Hub,Dhaka
SEL1058,Value Mart,Comilla
SEL1059,Value Store,Dhaka
